trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,83.2006,-47428.6097,-47345.4091,47439.7142,94.3051,0.3001,94.6053,0.3668,-275,0.0088,275,0.0323,0;0.5;0,1,94.2141,1.0,952.0,-532.0,1,1
2,94.9721,-47440.3812,-47345.4091,47442.0652,96.6561,0.3001,96.9562,0.3668,-275,0,275,0.0235,0;0.5;0,1,96.5566,1.0,922.0,-528.0,1,1
3,97.3230,-47442.7321,-47345.4091,47443.7992,98.3901,0.3001,98.6903,0.3668,-275,0.45,275,0.4735,0;0.5;0,1,98.2907,1.0,869.0,-581.0,1,1
4,99.0571,-47444.4662,-47345.4091,47445.4332,100.0241,0.3001,100.3243,0.3668,275,0.05,-275,0.0735,1;0;0,0,99.9247,1.0,891.0,-568.0,1,0
5,100.6911,-47446.1002,-47345.4091,47447.5341,102.1250,0.3001,102.4251,0.3668,-275,0.0167,275,0.0196,0;0.5;0,1,102.0340,1.0,917.0,-568.0,1,1
6,102.7919,-47448.2010,-47345.4091,47449.0347,103.6256,0.3001,103.9257,0.3668,275,0.05,-275,0.0582,1;0;0,0,103.5347,1.0,922.0,-570.0,1,0
7,104.2925,-47449.7016,-47345.4091,47450.4019,104.9928,0.3001,105.2929,0.3668,275,0.45,-275,1,0;0.5;0,0,104.8934,0.0,-877.0,-599.0,1,1
8,105.6598,-47451.0689,-47345.4091,47452.9696,107.5605,0.3001,107.8607,0.3668,275,0.45,-275,0.4735,1;0;0,0,107.4611,1.0,963.0,-553.0,1,0
9,108.2275,-47453.6366,-47345.4091,47455.6707,110.2616,0.3001,110.5618,0.3668,275,0.2,-275,0.3921,1;0;0,0,110.1705,1.0,975.0,-555.0,1,0
10,110.9286,-47456.3377,-47345.4091,47457.2214,111.8123,0.3001,112.1124,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,111.7213,0.0,-957.0,-551.0,1,1
11,112.4792,-47457.8883,-47345.4091,47460.8562,115.4471,0.3001,115.7472,0.3668,-275,0,275,0.0082,0;0.5;0,1,115.3478,1.0,904.0,-575.0,1,1
12,116.1140,-47461.5231,-47345.4091,47462.3234,116.9143,0.3001,117.2145,0.3668,275,0.0167,-275,0.0838,0;0.5;0,0,116.8149,0.0,-967.0,-578.0,1,1
13,117.5813,-47462.9904,-47345.4091,47463.6573,118.2482,0.3001,118.5483,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,118.1572,1.0,952.0,-591.0,1,1
14,118.9152,-47464.3243,-47345.4091,47465.2913,119.8822,0.3001,120.1823,0.3668,275,0,-275,0.1921,0;0.5;0,0,119.7829,0.0,-931.0,-554.0,1,1
15,120.5492,-47465.9583,-47345.4091,47467.0754,121.6663,0.3001,121.9664,0.3668,-275,0.45,275,0.4735,0;0.5;0,1,121.5670,1.0,943.0,-593.0,1,1
16,122.3332,-47467.7423,-47345.4091,47469.1095,123.7004,0.3001,124.0006,0.3668,275,0,-275,0.0029,0;0.5;0,0,123.6010,0.0,-944.0,-560.0,1,1
17,124.3674,-47469.7765,-47345.4091,47470.7602,125.3511,0.3001,125.6512,0.3668,275,0,-275,0.0235,0;0.5;0,0,125.2518,0.0,-947.0,-549.0,1,1
18,126.0181,-47471.4272,-47345.4091,47472.6943,127.2852,0.3001,127.5854,0.3668,-275,0.0167,275,0.0177,0;0.5;0,1,127.1858,1.0,905.0,-605.0,1,1
19,127.9522,-47473.3613,-47345.4091,47474.6785,129.2694,0.3001,129.5695,0.3668,-275,0.45,275,0.5171,0;0.5;0,1,129.1784,1.0,983.0,-554.0,1,1
20,129.9363,-47475.3454,-47345.4091,47476.0790,130.6699,0.3001,130.9701,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,130.5705,1.0,987.0,-553.0,1,1
21,131.3369,-47476.7460,-47345.4091,47477.8798,132.4707,0.3001,132.7708,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,132.3713,1.0,961.0,-584.0,1,1
22,133.1376,-47478.5467,-47345.4091,47480.8643,135.4552,0.3001,135.7554,0.3668,275,0,-275,0.001,0;0.5;0,0,135.3642,0.0,-978.0,-449.0,1,1
23,136.1222,-47481.5313,-47345.4091,47482.1649,136.7558,0.3001,137.0559,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,136.6564,1.0,982.0,-559.0,1,1
24,137.4227,-47482.8318,-47345.4091,47483.5488,138.1397,0.3001,138.4398,0.3668,-275,0.2,275,0.2082,0;0.5;0,1,138.0486,1.0,959.0,-602.0,1,1
25,138.8066,-47484.2157,-47345.4091,47485.4995,140.0905,0.3001,140.3906,0.3668,-275,0.05,275,0.0529,0;0.5;0,1,139.9911,1.0,981.0,-571.0,1,1
26,140.7574,-47486.1665,-47345.4091,47486.8334,141.4243,0.3001,141.7245,0.3668,-275,0.0167,275,0.2088,0;0.5;0,1,141.3332,1.0,995.0,-556.0,1,1
27,142.0913,-47487.5004,-47345.4091,47495.9705,150.5614,0.3001,150.8615,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,150.4619,1.0,945.0,-599.0,1,1
28,151.2283,-47496.6374,-47345.4091,47497.6878,152.2787,0.3001,152.5789,0.3668,275,0.0167,-275,0.0249,0;0.5;0,0,152.1878,0.0,-935.0,-557.0,1,1
29,152.9457,-47498.3548,-47345.4091,47498.9717,153.5626,0.3001,153.8627,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,153.4632,1.0,1012.0,-551.0,1,1
30,154.2295,-47499.6386,-47345.4091,47500.7224,155.3133,0.3001,155.6134,0.3668,275,0.0167,-275,0.0838,0;0.5;0,0,155.2222,0.0,-951.0,-551.0,1,1
31,155.9803,-47501.3894,-47345.4091,47502.0396,156.6305,0.3001,156.9306,0.3668,275,0.0167,-275,0.0838,0;0.5;0,0,156.5310,0.0,-966.0,-572.0,1,1
32,157.2975,-47502.7066,-47345.4091,47504.0071,158.5980,0.3001,158.8981,0.3668,-275,0,275,0.0082,1;0;0,1,158.5070,0.0,-953.0,-546.0,1,0
33,159.2649,-47504.6740,-47345.4091,47505.4077,159.9986,0.3001,160.2987,0.3668,-275,0.2,275,0.75,0;0.5;0,1,159.9076,1.0,1013.0,-565.0,1,1
34,160.6655,-47506.0746,-47345.4091,47506.8749,161.4658,0.3001,161.7659,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,161.3664,0.0,-971.0,-546.0,1,1
35,162.1328,-47507.5419,-47345.4091,47509.6427,164.2336,0.3001,164.5337,0.3668,275,0.0088,-275,0.0323,1;0;0,0,164.1342,1.0,1014.0,-580.0,1,0
36,164.9006,-47510.3097,-47345.4091,47511.4601,166.0510,0.3001,166.3511,0.3668,275,0,-275,0.001,1;0;0,0,165.9517,1.0,1042.0,-545.0,1,0
37,166.7180,-47512.1271,-47345.4091,47513.2108,167.8017,0.3001,168.1019,0.3668,-275,0.45,275,0.5171,0;0.5;0,1,167.7107,1.0,1028.0,-566.0,1,1
38,168.4687,-47513.8778,-47345.4091,47514.6948,169.2857,0.3001,169.5858,0.3668,275,0.2,-275,0.2671,1;0;0,0,169.1863,1.0,1050.0,-535.0,1,0
39,169.9526,-47515.3617,-47345.4091,47516.0953,170.6862,0.3001,170.9864,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,170.5869,1.0,1051.0,-547.0,1,1
40,171.3532,-47516.7623,-47345.4091,47517.3959,171.9868,0.3001,172.2869,0.3668,275,0.45,-275,0.6421,0;0.5;0,0,171.8957,0.0,-964.0,-509.0,1,1
41,172.6537,-47518.0628,-47345.4091,47518.5964,173.1873,0.3001,173.4874,0.3668,275,0.2,-275,0.75,0;0.5;0,0,173.0962,0.0,-971.0,-512.0,1,1
42,173.8542,-47519.2633,-47345.4091,47520.0636,174.6545,0.3001,174.9546,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,174.5552,0.0,-985.0,-502.0,1,1
43,175.3215,-47520.7306,-47345.4091,47521.3808,175.9717,0.3001,176.2719,0.3668,-275,0.45,275,1,0;0.5;0,1,175.8723,1.0,1018.0,-576.0,1,1
