trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,63.8176,-1020.7845,-956.9669,1021.5182,64.5513,0.3001,64.8514,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,64.4728,0.0,-1092.0,-656.0,1,1
2,65.2182,-1022.1851,-956.9669,1024.6028,67.6359,0.3001,67.9360,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,67.5488,1.0,1096.0,-709.0,1,1
3,68.3028,-1025.2697,-956.9669,1025.8033,68.8364,0.3001,69.1365,0.3668,275,0.0167,-275,0.2088,0;0.5;0,0,68.7495,0.0,-1100.0,-654.0,1,1
4,69.5033,-1026.4702,-956.9669,1026.7370,69.7701,0.3001,70.0702,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,69.6915,1.0,1100.0,-706.0,1,1
5,70.4370,-1027.4039,-956.9669,1027.6373,70.6704,0.3001,70.9706,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,70.5835,1.0,1099.0,-699.0,1,1
6,71.3374,-1028.3043,-956.9669,1028.8378,71.8709,0.3001,72.1710,0.3668,275,0,-275,0.1921,0;0.5;0,0,71.7925,0.0,-1086.0,-662.0,1,1
7,72.5379,-1029.5048,-956.9669,1032.9228,75.9559,0.3001,76.2560,0.3668,-275,0,275,0.001,0;0.5;0,1,75.8775,1.0,1096.0,-706.0,1,1
8,76.6229,-1033.5898,-956.9669,1034.4068,77.4399,0.3001,77.7400,0.3668,-275,0.0167,275,0.0249,0;0.5;0,1,77.3613,1.0,1100.0,-704.0,1,1
9,78.1068,-1035.0737,-956.9669,1038.4918,81.5248,0.3001,81.8250,0.3668,275,0.0167,-275,0.2088,1;0;0,0,81.4464,1.0,1100.0,-703.0,1,0
10,82.1918,-1039.1587,-956.9669,1039.6922,82.7253,0.3001,83.0255,0.3668,-275,0.45,275,0.4735,0;0.5;0,1,82.6468,1.0,1100.0,-705.0,1,1
11,83.3923,-1040.3592,-956.9669,1041.1262,84.1593,0.3001,84.4594,0.3668,-275,0,275,0.0671,0;0.5;0,1,84.0807,1.0,1094.0,-705.0,1,1
12,84.8262,-1041.7931,-956.9669,1042.4600,85.4931,0.3001,85.7933,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,85.4061,0.0,-1088.0,-663.0,1,1
13,86.1601,-1043.1270,-956.9669,1043.8106,86.8437,0.3001,87.1438,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,86.7568,0.0,-1091.0,-658.0,1,1
14,87.5106,-1044.4775,-956.9669,1045.0444,88.0775,0.3001,88.3776,0.3668,275,0,-275,0.0671,0;0.5;0,0,87.9992,0.0,-1092.0,-661.0,1,1
15,88.7445,-1045.7114,-956.9669,1046.2616,89.2947,0.3001,89.5948,0.3668,-275,0.05,275,0.0582,1;0;0,1,89.2162,0.0,-1096.0,-655.0,1,0
16,89.9616,-1046.9285,-956.9669,1047.6955,90.7286,0.3001,91.0287,0.3668,-275,0,275,0.0235,0;0.5;0,1,90.6501,1.0,1105.0,-698.0,1,1
17,91.3955,-1048.3624,-956.9669,1048.8960,91.9291,0.3001,92.2292,0.3668,275,0.2,-275,0.2082,0;0.5;0,0,91.8506,0.0,-1092.0,-654.0,1,1
18,92.5960,-1049.5629,-956.9669,1050.0465,93.0795,0.3001,93.3797,0.3668,-275,0.2,275,0.2235,1;0;0,1,92.9926,0.0,-1101.0,-654.0,1,0
19,93.7465,-1050.7134,-956.9669,1051.5471,94.5802,0.3001,94.8803,0.3668,275,0.0167,-275,0.0196,0;0.5;0,0,94.4932,0.0,-1099.0,-651.0,1,1
20,95.2471,-1052.2140,-956.9669,1052.7809,95.8140,0.3001,96.1141,0.3668,-275,0.2,275,0.2082,1;0;0,1,95.7272,0.0,-1094.0,-656.0,1,0
21,96.4809,-1053.4478,-956.9669,1054.3982,97.4313,0.3001,97.7314,0.3668,-275,0.05,275,0.2421,1;0;0,1,97.3445,0.0,-1095.0,-655.0,1,0
