trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,50.9291,-53853.9219,-53802.9928,53854.7889,51.7961,0.3001,52.0962,0.3668,275,0.0167,-275,0.0402,0;0.5;0,0,51.7050,0.0,-978.0,-526.0,1,1
2,52.4630,-53855.4558,-53802.9928,53856.2728,53.2800,0.3001,53.5801,0.3668,275,0.0167,-275,0.0249,0;0.5;0,0,53.1806,0.0,-982.0,-476.0,1,1
3,53.9470,-53856.9397,-53802.9928,53857.9235,54.9307,0.3001,55.2308,0.3668,275,0.0167,-275,0.0249,0;0.5;0,0,54.8313,0.0,-999.0,-550.0,1,1
4,55.5976,-53858.5904,-53802.9928,53859.2574,56.2646,0.3001,56.5647,0.3668,-275,0,275,0.0671,0;0.5;0,1,56.1734,1.0,999.0,-522.0,1,1
5,56.9315,-53859.9243,-53802.9928,53860.9080,57.9152,0.3001,58.2154,0.3668,-275,0.0167,275,0.0196,1;0;0,1,57.8242,0.0,-1041.0,-497.0,1,0
6,58.5822,-53861.5750,-53802.9928,53862.8922,59.8994,0.3001,60.1995,0.3668,275,0.2,-275,0.2082,1;0;0,0,59.8083,1.0,996.0,-565.0,1,0
7,60.5663,-53863.5591,-53802.9928,53864.1760,61.1832,0.3001,61.4834,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,61.0922,0.0,-1025.0,-490.0,1,1
8,61.8502,-53864.8430,-53802.9928,53865.7433,62.7505,0.3001,63.0507,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,62.6511,1.0,983.0,-613.0,1,1
9,63.4175,-53866.4103,-53802.9928,53866.8938,63.9010,0.3001,64.2011,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,63.8099,1.0,988.0,-615.0,1,1
10,64.5679,-53867.5607,-53802.9928,53868.1110,65.1182,0.3001,65.4183,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,65.0187,0.0,-1022.0,-495.0,1,1
11,65.7851,-53868.7779,-53802.9928,53869.2781,66.2853,0.3001,66.5854,0.3668,-275,0.05,275,0.0735,0;0.5;0,1,66.1943,1.0,994.0,-573.0,1,1
12,66.9523,-53869.9450,-53802.9928,53871.4123,68.4195,0.3001,68.7196,0.3668,-275,0,275,0.0671,0;0.5;0,1,68.3285,1.0,984.0,-568.0,1,1
13,69.0865,-53872.0792,-53802.9928,53872.9129,69.9201,0.3001,70.2203,0.3668,275,0.0088,-275,0.0117,0;0.5;0,0,69.8290,0.0,-1036.0,-524.0,1,1
14,70.5871,-53873.5799,-53802.9928,53874.2801,71.2874,0.3001,71.5875,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,71.1964,0.0,-1019.0,-503.0,1,1
15,71.9543,-53874.9471,-53802.9928,53875.6640,72.6712,0.3001,72.9714,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,72.5802,1.0,1005.0,-535.0,1,1
16,73.3382,-53876.3310,-53802.9928,53877.6315,74.6387,0.3001,74.9388,0.3668,275,0.0088,-275,0.0098,0;0.5;0,0,74.5477,0.0,-1075.0,-505.0,1,1
17,75.3057,-53878.2984,-53802.9928,53878.9487,75.9559,0.3001,76.2560,0.3668,275,0,-275,0.0082,0;0.5;0,0,75.8565,0.0,-1028.0,-515.0,1,1
18,76.6229,-53879.6156,-53802.9928,53881.3330,78.3402,0.3001,78.6403,0.3668,-275,0,275,0.0235,1;0;0,1,78.2492,0.0,-1048.0,-453.0,1,0
19,79.0072,-53881.9999,-53802.9928,53882.6335,79.6408,0.3001,79.9409,0.3668,275,0.2,-275,0.2671,0;0.5;0,0,79.5497,0.0,-1038.0,-472.0,1,1
20,80.3077,-53883.3005,-53802.9928,53883.7673,80.7745,0.3001,81.0747,0.3668,-275,0.05,275,0.6,0;0.5;0,1,80.6834,1.0,994.0,-589.0,1,1
21,81.4415,-53884.4343,-53802.9928,53885.3180,82.3252,0.3001,82.6253,0.3668,-275,0.2,275,0.2082,1;0;0,1,82.2258,0.0,-1054.0,-475.0,1,0
22,82.9921,-53885.9849,-53802.9928,53886.5518,83.5590,0.3001,83.8591,0.3668,-275,0.05,275,0.2421,0;0.5;0,1,83.4595,1.0,1002.0,-626.0,1,1
23,84.2260,-53887.2187,-53802.9928,53888.0357,85.0430,0.3001,85.3431,0.3668,-275,0.0167,275,0.0402,1;0;0,1,84.9435,0.0,-1091.0,-440.0,1,0
