trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,120.8451,-17935.9294,-17815.0843,17937.3091,122.2248,0.3001,122.5249,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,122.1337,0.0,-1072.0,-503.0,1,1
2,122.8918,-17937.9760,-17815.0843,17938.9764,123.8922,0.3001,124.1923,0.3668,275,0.45,-275,0.5171,1;0;0,0,123.7928,1.0,1028.0,-450.0,1,0
3,124.5591,-17939.6434,-17815.0843,17940.6104,125.5262,0.3001,125.8263,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,125.4267,1.0,1021.0,-436.0,1,1
4,126.1931,-17941.2774,-17815.0843,17942.5779,127.4936,0.3001,127.7938,0.3668,275,0.45,-275,0.5171,1;0;0,0,127.4026,1.0,1020.0,-425.0,1,0
5,128.1606,-17943.2449,-17815.0843,17943.9285,128.8442,0.3001,129.1443,0.3668,-275,0,275,0.001,1;0;0,1,128.7449,0.0,-1073.0,-481.0,1,0
6,129.5111,-17944.5954,-17815.0843,17945.4958,130.4115,0.3001,130.7116,0.3668,-275,0.2,275,0.2082,0;0.5;0,1,130.3206,1.0,1014.0,-442.0,1,1
7,131.0784,-17946.1627,-17815.0843,17951.7983,136.7141,0.3001,137.0142,0.3668,275,0.0088,-275,0.0117,1;0;0,0,136.6146,1.0,1016.0,-452.0,1,0
8,137.3810,-17952.4653,-17815.0843,17953.0989,138.0146,0.3001,138.3147,0.3668,-275,0.05,275,0.0529,1;0;0,1,137.9236,0.0,-1073.0,-479.0,1,0
9,138.6815,-17953.7658,-17815.0843,17954.5828,139.4985,0.3001,139.7986,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,139.4075,1.0,1013.0,-449.0,1,1
10,140.1655,-17955.2497,-17815.0843,17956.2501,141.1659,0.3001,141.4660,0.3668,275,0.0167,-275,0.2088,0;0.5;0,0,141.0664,0.0,-1077.0,-465.0,1,1
11,141.8328,-17956.9171,-17815.0843,17957.5674,142.4831,0.3001,142.7832,0.3668,275,0.2,-275,1,0;0.5;0,0,142.3921,0.0,-1066.0,-499.0,1,1
12,143.1500,-17958.2343,-17815.0843,17958.8512,143.7669,0.3001,144.0670,0.3668,-275,0.2,275,0.75,0;0.5;0,1,143.6760,1.0,1001.0,-466.0,1,1
13,144.4339,-17959.5181,-17815.0843,17967.0045,151.9202,0.3001,152.2204,0.3668,-275,0.0088,275,0.0117,0;0.5;0,1,151.8291,1.0,1001.0,-460.0,1,1
14,152.5872,-17967.6715,-17815.0843,17968.7052,153.6209,0.3001,153.9211,0.3668,-275,0.45,275,0.5171,0;0.5;0,1,153.5300,1.0,989.0,-470.0,1,1
15,154.2879,-17969.3722,-17815.0843,17970.4393,155.3550,0.3001,155.6551,0.3668,275,0.05,-275,0.0735,1;0;0,0,155.2638,1.0,1000.0,-454.0,1,0
16,156.0219,-17971.1062,-17815.0843,17971.7565,156.6722,0.3001,156.9723,0.3668,-275,0.0088,275,0.0323,1;0;0,1,156.5728,0.0,-1075.0,-483.0,1,0
17,157.3391,-17972.4234,-17815.0843,17973.1070,158.0227,0.3001,158.3229,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,157.9234,1.0,990.0,-474.0,1,1
18,158.6897,-17973.7740,-17815.0843,17975.0745,159.9902,0.3001,160.2903,0.3668,275,0.2,-275,0.2671,0;0.5;0,0,159.8992,0.0,-1055.0,-503.0,1,1
19,160.6571,-17975.7414,-17815.0843,17978.6426,163.5583,0.3001,163.8584,0.3668,275,0.0167,-275,0.0196,0;0.5;0,0,163.4588,0.0,-1080.0,-463.0,1,1
20,164.2253,-17979.3095,-17815.0843,17980.0765,164.9922,0.3001,165.2924,0.3668,275,0.2,-275,1,0;0.5;0,0,164.9013,0.0,-1065.0,-505.0,1,1
21,165.6592,-17980.7435,-17815.0843,17981.5438,166.4595,0.3001,166.7596,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,166.3601,1.0,994.0,-490.0,1,1
22,167.1264,-17982.2107,-17815.0843,17988.6133,173.5290,0.3001,173.8292,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,173.4381,1.0,997.0,-487.0,1,1
23,174.1960,-17989.2803,-17815.0843,17992.2481,177.1639,0.3001,177.4640,0.3668,-275,0.0088,275,0.0117,1;0;0,1,177.0644,0.0,-1076.0,-486.0,1,0
24,177.8308,-17992.9151,-17815.0843,17993.6821,178.5978,0.3001,178.8979,0.3668,275,0.2,-275,0.2235,0;0.5;0,0,178.4984,0.0,-1064.0,-502.0,1,1
25,179.2647,-17994.3490,-17815.0843,17994.9993,179.9150,0.3001,180.2151,0.3668,275,0.2,-275,0.2082,0;0.5;0,0,179.8240,0.0,-1057.0,-504.0,1,1
26,180.5819,-17995.6662,-17815.0843,18001.0350,185.9508,0.3001,186.2509,0.3668,-275,0,275,0.0082,1;0;0,1,185.8513,0.0,-1057.0,-513.0,1,0
27,186.6177,-18001.7020,-17815.0843,18003.4027,188.3184,0.3001,188.6185,0.3668,275,0,-275,0.0235,0;0.5;0,0,188.2273,0.0,-1065.0,-508.0,1,1
28,188.9853,-18004.0696,-17815.0843,18004.9033,189.8190,0.3001,190.1191,0.3668,275,0,-275,0.0671,0;0.5;0,0,189.7196,0.0,-1047.0,-529.0,1,1
29,190.4859,-18005.5702,-17815.0843,18007.6544,192.5701,0.3001,192.8702,0.3668,275,0.05,-275,0.0735,0;0.5;0,0,192.4707,0.0,-1065.0,-491.0,1,1
30,193.2371,-18008.3213,-17815.0843,18009.0550,193.9707,0.3001,194.2708,0.3668,-275,0.2,275,0.75,0;0.5;0,1,193.8712,1.0,978.0,-499.0,1,1
31,194.6376,-18009.7219,-17815.0843,18010.4555,195.3713,0.3001,195.6714,0.3668,275,0.45,-275,1,0;0.5;0,0,195.2719,0.0,-1048.0,-525.0,1,1
32,196.0382,-18011.1225,-17815.0843,18013.2233,198.1391,0.3001,198.4392,0.3668,275,0.45,-275,0.5171,1;0;0,0,198.0396,1.0,997.0,-464.0,1,0
33,198.8060,-18013.8903,-17815.0843,18014.0403,198.9561,0.3001,199.2562,0.3668,-275,0,275,0.0671,1;0;0,1,198.8651,0.0,-1060.0,-508.0,1,0
34,199.6230,-18014.7073,-17815.0843,18017.4251,202.3408,0.3001,202.6409,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,202.2497,1.0,1003.0,-459.0,1,1
35,203.0077,-18018.0920,-17815.0843,18019.0090,203.9247,0.3001,204.2249,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,203.8254,1.0,999.0,-459.0,1,1
36,204.5917,-18019.6760,-17815.0843,18023.3775,208.2932,0.3001,208.5933,0.3668,275,0,-275,0.0082,1;0;0,0,208.2020,1.0,998.0,-465.0,1,0
37,208.9601,-18024.0444,-17815.0843,18025.2616,210.1773,0.3001,210.4774,0.3668,275,0.0088,-275,0.0117,0;0.5;0,0,210.0779,0.0,-1055.0,-520.0,1,1
38,210.8442,-18025.9285,-17815.0843,18027.6125,212.5282,0.3001,212.8284,0.3668,275,0.0167,-275,0.0177,0;0.5;0,0,212.4371,0.0,-1073.0,-484.0,1,1
39,213.1952,-18028.2795,-17815.0843,18028.9506,213.8663,0.2960,214.1622,0.3668,-275,0.05,275,0.6,0;0.5;0,1,213.7711,1.0,980.0,-503.0,1,1
40,214.5291,-18029.6133,-17815.0843,18030.3136,215.2293,0.3001,215.5295,0.3668,275,0.45,-275,0.6421,0;0.5;0,0,215.1383,0.0,-1056.0,-520.0,1,1
41,215.8963,-18030.9806,-17815.0843,18032.6646,217.5803,0.3001,217.8804,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,217.4892,0.0,-1068.0,-505.0,1,1
42,218.2472,-18033.3315,-17815.0843,18034.0652,218.9809,0.3001,219.2810,0.3668,-275,0.2,275,1,0;0.5;0,1,218.8815,1.0,977.0,-496.0,1,1
43,219.6478,-18034.7321,-17815.0843,18035.3157,220.2314,0.3001,220.5315,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,220.1404,0.0,-1057.0,-517.0,1,1
44,220.8983,-18035.9826,-17815.0843,18036.6329,221.5486,0.3001,221.8487,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,221.4576,1.0,986.0,-484.0,1,1
45,222.2155,-18037.2998,-17815.0843,18038.1501,223.0659,0.3001,223.3660,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,222.9749,1.0,984.0,-493.0,1,1
46,223.7328,-18038.8171,-17815.0843,18039.8842,224.7999,0.3001,225.1000,0.3668,-275,0.05,275,0.0735,0;0.5;0,1,224.7087,1.0,978.0,-496.0,1,1
47,225.4668,-18040.5511,-17815.0843,18045.7532,230.6690,0.3001,230.9691,0.3668,-275,0.0088,275,0.017,1;0;0,1,230.5780,0.0,-1046.0,-522.0,1,0
48,231.3359,-18046.4202,-17815.0843,18047.0538,231.9695,0.3001,232.2696,0.3668,-275,0.45,275,0.4735,0;0.5;0,1,231.8784,1.0,980.0,-485.0,1,1
49,232.6364,-18047.7207,-17815.0843,18048.8712,233.7869,0.3001,234.0870,0.3668,-275,0.0088,275,0.0323,0;0.5;0,1,233.6958,1.0,976.0,-488.0,1,1
50,234.4538,-18049.5381,-17815.0843,18052.5560,237.4717,0.3001,237.7718,0.3668,-275,0,275,0.0235,0;0.5;0,1,237.3724,1.0,987.0,-477.0,1,1
51,238.1387,-18053.2229,-17815.0843,18054.2400,239.1557,0.3001,239.4559,0.3668,-275,0.2,275,0.2671,0;0.5;0,1,239.0648,1.0,977.0,-489.0,1,1
52,239.8227,-18054.9070,-17815.0843,18055.6739,240.5897,0.3001,240.8898,0.3668,275,0.45,-275,0.6421,0;0.5;0,0,240.4985,0.0,-1043.0,-556.0,1,1
53,241.2566,-18056.3409,-17815.0843,18060.7593,245.6751,0.3001,245.9752,0.3668,275,0,-275,0.0082,0;0.5;0,0,245.5758,0.0,-1064.0,-507.0,1,1
54,246.3420,-18061.4263,-17815.0843,18065.5613,250.4770,0.3001,250.7771,0.3668,275,0.0088,-275,0.0098,0;0.5;0,0,250.3776,0.0,-1052.0,-511.0,1,1
