trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,56.9148,-861.9926,-805.0778,865.3939,60.3162,0.3001,60.6163,0.3668,-275,0.2,275,0.75,0;0.5;0,1,60.2167,1.0,1080.0,-497.0,1,1
2,60.9831,-866.0609,-805.0778,867.8449,62.7672,0.3001,63.0673,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,62.6762,1.0,1060.0,-484.0,1,1
3,63.4341,-868.5119,-805.0778,871.0462,65.9685,0.3001,66.2686,0.3668,275,0,-275,0.1921,1;0;0,0,65.8691,1.0,1024.0,-458.0,1,0
4,66.6354,-871.7132,-805.0778,876.1483,71.0705,0.3001,71.3707,0.3668,275,0.45,-275,0.5171,1;0;0,0,70.9795,1.0,1058.0,-471.0,1,0
5,71.7375,-876.8153,-805.0778,878.3159,73.2381,0.3001,73.5382,0.3668,-275,0.0167,275,0.0249,1;0;0,1,73.1471,0.0,-1103.0,-532.0,1,0
6,73.9050,-878.9828,-805.0778,880.3167,75.2389,0.3001,75.5390,0.3668,-275,0.0167,275,0.0196,1;0;0,1,75.1479,0.0,-1043.0,-503.0,1,0
7,75.9058,-880.9836,-805.0778,882.5509,77.4732,0.3001,77.7733,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,77.3737,1.0,1076.0,-433.0,1,1
8,78.1401,-883.2179,-805.0778,884.8685,79.7908,0.3001,80.0909,0.3668,-275,0.05,275,0.6,0;0.5;0,1,79.6997,1.0,1043.0,-474.0,1,1
9,80.4577,-885.5355,-805.0778,887.8197,82.7420,0.3001,83.0421,0.3668,-275,0.45,275,0.5171,0;0.5;0,1,82.6425,1.0,1045.0,-466.0,1,1
10,83.4089,-888.4867,-805.0778,890.2415,85.1638,0.3001,85.4639,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,85.0602,1.0,1035.0,-482.0,1,1
11,85.8307,-890.9085,-805.0778,892.2382,87.1604,0.3001,87.4605,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,87.0610,1.0,1038.0,-498.0,1,1
12,87.8274,-892.9051,-805.0778,894.8559,89.7782,0.3001,90.0783,0.3668,275,0.0167,-275,0.0402,1;0;0,0,89.6872,1.0,1065.0,-501.0,1,0
13,90.4451,-895.5229,-805.0778,897.2569,92.1791,0.3001,92.4792,0.3668,275,0.0088,-275,0.2009,1;0;0,0,92.0797,1.0,1019.0,-488.0,1,0
