trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,47.2857,-10429.3555,-10382.0698,10429.8891,47.8192,0.3001,48.1194,0.3668,275,0,-275,0.1921,0;0.5;0,0,47.7323,0.0,-831.0,-603.0,1,1
2,48.4862,-10430.5560,-10382.0698,10431.0437,48.9739,0.3001,49.2740,0.3668,275,0.0167,-275,0.2088,0;0.5;0,0,48.8827,0.0,-815.0,-632.0,1,1
3,49.6408,-10431.7107,-10382.0698,10432.2734,50.2035,0.3001,50.5037,0.3668,-275,0.0088,275,0.017,0;0.5;0,1,50.1167,1.0,822.0,-594.0,1,1
4,50.8705,-10432.9403,-10382.0698,10433.4238,51.3540,0.3001,51.6541,0.3668,275,0.45,-275,0.6421,0;0.5;0,0,51.2671,0.0,-823.0,-624.0,1,1
5,52.0209,-10434.0908,-10382.0698,10434.5910,52.5211,0.3001,52.8213,0.3668,-275,0,275,0.0235,0;0.5;0,1,52.4260,1.0,811.0,-615.0,1,1
6,53.1881,-10435.2579,-10382.0698,10435.7248,53.6549,0.3001,53.9550,0.3668,275,0,-275,0.0082,0;0.5;0,0,53.5681,0.0,-824.0,-639.0,1,1
7,54.3219,-10436.3917,-10382.0698,10436.7418,54.6720,0.3001,54.9721,0.3668,-275,0,275,0.0671,0;0.5;0,1,54.5850,1.0,812.0,-611.0,1,1
8,55.3389,-10437.4088,-10382.0698,10437.9423,55.8725,0.3001,56.1726,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,55.7773,0.0,-816.0,-633.0,1,1
9,56.5394,-10438.6093,-10382.0698,10439.1595,57.0896,0.3001,57.3898,0.3668,275,0.2,-275,0.2082,1;0;0,0,57.0027,1.0,812.0,-608.0,1,0
10,57.7566,-10439.8264,-10382.0698,10440.5100,58.4402,0.3001,58.7403,0.3668,275,0.05,-275,0.0735,0;0.5;0,0,58.3450,0.0,-814.0,-652.0,1,1
11,59.1071,-10441.1770,-10382.0698,10441.9273,59.8574,0.3001,60.1575,0.3668,275,0.05,-275,0.0529,0;0.5;0,0,59.7705,0.0,-813.0,-654.0,1,1
12,60.5244,-10442.5942,-10382.0698,10443.2111,61.1413,0.3001,61.4414,0.3668,-275,0.05,275,0.0582,0;0.5;0,1,61.0545,1.0,805.0,-621.0,1,1
13,61.8082,-10443.8781,-10382.0698,10444.3449,62.2751,0.3001,62.5752,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,62.1883,0.0,-812.0,-648.0,1,1
14,62.9420,-10445.0118,-10382.0698,10445.7955,63.7256,0.3001,64.0258,0.3668,-275,0,275,0.0082,0;0.5;0,1,63.6304,1.0,801.0,-619.0,1,1
15,64.3926,-10446.4624,-10382.0698,10447.0460,64.9761,0.3001,65.2763,0.3668,-275,0.05,275,0.0735,0;0.5;0,1,64.8892,1.0,797.0,-622.0,1,1
16,65.6431,-10447.7129,-10382.0698,10448.1464,66.0766,0.3001,66.3767,0.3668,-275,0.05,275,0.2421,0;0.5;0,1,65.9813,1.0,802.0,-620.0,1,1
17,66.7435,-10448.8134,-10382.0698,10449.1969,67.1270,0.3001,67.4271,0.3668,-275,0,275,0.1921,0;0.5;0,1,67.0403,1.0,801.0,-625.0,1,1
18,67.7939,-10449.8638,-10382.0698,10450.5141,68.4442,0.3001,68.7443,0.3668,275,0.05,-275,0.0582,0;0.5;0,0,68.3574,0.0,-805.0,-651.0,1,1
