trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,55.5643,-78407.0133,-78351.4490,78408.1637,56.7148,0.3001,57.0149,0.3668,275,0.45,-275,0.5171,1;0;0,0,56.6321,1.0,1075.0,-689.0,1,0
2,57.3817,-78408.8307,-78351.4490,78409.7144,58.2654,0.3001,58.5655,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,58.1827,0.0,-1036.0,-667.0,1,1
3,58.9323,-78410.3813,-78351.4490,78411.1483,59.6993,0.3001,59.9994,0.3668,275,0,-275,0.1921,0;0.5;0,0,59.6166,0.0,-1024.0,-686.0,1,1
4,60.3662,-78411.8152,-78351.4490,78413.0657,61.6168,0.3001,61.9169,0.3668,-275,0,275,0.0029,0;0.5;0,1,61.5257,1.0,1069.0,-710.0,1,1
5,62.2837,-78413.7327,-78351.4490,78414.6164,63.1674,0.3001,63.4675,0.3668,275,0.45,-275,0.4582,1;0;0,0,63.0847,1.0,1062.0,-705.0,1,0
6,63.8343,-78415.2833,-78351.4490,78416.3337,64.8848,0.3001,65.1849,0.3668,-275,0.05,275,0.0582,0;0.5;0,1,64.7936,1.0,1056.0,-716.0,1,1
7,65.5517,-78417.0007,-78351.4490,78417.6676,66.2186,0.3001,66.5187,0.3668,-275,0.2,275,0.75,0;0.5;0,1,66.1275,1.0,1053.0,-712.0,1,1
8,66.8856,-78418.3345,-78351.4490,78418.9348,67.4858,0.3001,67.7859,0.3668,275,0.05,-275,0.6,0;0.5;0,0,67.3948,0.0,-1017.0,-694.0,1,1
9,68.1527,-78419.6017,-78351.4490,78420.5188,69.0698,0.3001,69.3699,0.3668,-275,0.05,275,0.0582,0;0.5;0,1,68.9787,1.0,1057.0,-723.0,1,1
10,69.7367,-78421.1857,-78351.4490,78423.5033,72.0543,0.3001,72.3545,0.3668,-275,0,275,0.0235,0;0.5;0,1,71.9634,1.0,1070.0,-710.0,1,1
11,72.7213,-78424.1703,-78351.4490,78424.8039,73.3549,0.3001,73.6550,0.3668,275,0.2,-275,1,0;0.5;0,0,73.2720,0.0,-1033.0,-709.0,1,1
