trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,111.9790,-5149.5889,-5037.6099,5150.1891,112.5792,0.3001,112.8793,0.3668,275,0,-275,0.0235,1;0;0,0,112.4964,1.0,610.0,30.0,1,0
2,113.2462,-5150.8561,-5037.6099,5151.5564,113.9464,0.3001,114.2466,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,113.8554,0.0,-850.0,4.0,1,1
3,114.6134,-5152.2233,-5037.6099,5153.2737,115.6638,0.3001,115.9639,0.3668,-275,0.2,275,0.2235,1;0;0,1,115.5812,0.0,-884.0,15.0,1,0
4,116.3307,-5153.9407,-5037.6099,5154.6910,117.0810,0.3001,117.3812,0.3668,275,0.05,-275,0.0529,0;0.5;0,0,116.9900,0.0,-884.0,-9.0,1,1
5,117.7480,-5155.3579,-5037.6099,5156.0082,118.3983,0.3001,118.6984,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,118.3072,1.0,686.0,8.0,1,1
6,119.0652,-5156.6751,-5037.6099,5157.2420,119.6321,0.3001,119.9322,0.3668,275,0.0167,-275,0.0838,0;0.5;0,0,119.5494,0.0,-884.0,-6.0,1,1
7,120.2990,-5157.9090,-5037.6099,5158.9260,121.3161,0.3001,121.6162,0.3668,-275,0.0167,275,0.0196,1;0;0,1,121.2334,0.0,-903.0,11.0,1,0
8,121.9830,-5159.5930,-5037.6099,5160.2432,122.6333,0.3001,122.9334,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,122.5506,1.0,688.0,0.0,1,1
9,123.3002,-5160.9102,-5037.6099,5166.0789,128.4690,0.3001,128.7691,0.3668,275,0,-275,0.001,1;0;0,0,128.3780,1.0,689.0,0.0,1,0
10,129.1360,-5166.7459,-5037.6099,5167.3795,129.7695,0.3001,130.0697,0.3668,-275,0.45,275,0.4735,1;0;0,1,129.6867,0.0,-875.0,-14.0,1,0
11,130.4365,-5168.0464,-5037.6099,5170.3307,132.7207,0.3001,133.0209,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,132.6381,1.0,702.0,-5.0,1,1
12,133.3877,-5170.9976,-5037.6099,5172.2481,134.6382,0.3001,134.9383,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,134.5471,1.0,706.0,5.0,1,1
13,135.3051,-5172.9151,-5037.6099,5173.5653,135.9554,0.3001,136.2555,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,135.8643,0.0,-908.0,20.0,1,1
14,136.6223,-5174.2323,-5037.6099,5174.8158,137.2059,0.3001,137.5060,0.3668,-275,0.45,275,1,0;0.5;0,1,137.1149,1.0,696.0,4.0,1,1
15,137.8728,-5175.4828,-5037.6099,5176.2998,138.6898,0.3001,138.9900,0.3668,275,0.0167,-275,0.0177,1;0;0,0,138.6070,1.0,696.0,1.0,1,0
16,139.3568,-5176.9667,-5037.6099,5177.6336,140.0237,0.3001,140.3238,0.3668,275,0,-275,0.0235,0;0.5;0,0,139.9326,0.0,-886.0,-20.0,1,1
17,140.6907,-5178.3006,-5037.6099,5179.0509,141.4410,0.3001,141.7411,0.3668,-275,0,275,0.0235,0;0.5;0,1,141.3500,1.0,693.0,-6.0,1,1
18,142.1079,-5179.7178,-5037.6099,5180.4014,142.7915,0.3001,143.0916,0.3668,275,0.05,-275,0.6,0;0.5;0,0,142.7005,0.0,-884.0,-4.0,1,1
19,143.4585,-5181.0684,-5037.6099,5181.6019,143.9920,0.3001,144.2921,0.3668,-275,0,275,0.0235,0;0.5;0,1,143.9009,1.0,695.0,-12.0,1,1
20,144.6589,-5182.2689,-5037.6099,5182.9525,145.3426,0.3001,145.6427,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,145.2599,0.0,-878.0,-21.0,1,1
21,146.0095,-5183.6194,-5037.6099,5184.2530,146.6431,0.3001,146.9432,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,146.5521,0.0,-870.0,-27.0,1,1
22,147.3100,-5184.9199,-5037.6099,5185.4702,147.8602,0.3001,148.1604,0.3668,275,0.2,-275,0.75,0;0.5;0,0,147.7692,0.0,-874.0,-18.0,1,1
23,148.5272,-5186.1371,-5037.6099,5186.9875,149.3775,0.3001,149.6777,0.3668,-275,0.2,275,0.2671,0;0.5;0,1,149.2948,1.0,697.0,-5.0,1,1
24,150.0445,-5187.6544,-5037.6099,5188.2880,150.6781,0.3001,150.9782,0.3668,-275,0,275,0.0671,0;0.5;0,1,150.5952,1.0,693.0,-13.0,1,1
25,151.3450,-5188.9549,-5037.6099,5189.6052,151.9953,0.3001,152.2954,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,151.9042,1.0,695.0,-11.0,1,1
26,152.6622,-5190.2721,-5037.6099,5190.8223,153.2124,0.3001,153.5125,0.3668,275,0.0088,-275,0.2009,0;0.5;0,0,153.1214,0.0,-868.0,-22.0,1,1
27,153.8794,-5191.4893,-5037.6099,5192.4397,154.8297,0.3001,155.1299,0.3668,-275,0,275,0.0082,0;0.5;0,1,154.7386,1.0,696.0,-10.0,1,1
28,155.4967,-5193.1066,-5037.6099,5193.6235,156.0136,0.3001,156.3137,0.3668,-275,0,275,0.0235,0;0.5;0,1,155.9310,1.0,696.0,-13.0,1,1
29,156.6805,-5194.2904,-5037.6099,5195.0908,157.4808,0.3001,157.7809,0.3668,-275,0.45,275,0.6421,0;0.5;0,1,157.3897,1.0,693.0,-9.0,1,1
30,158.1478,-5195.7577,-5037.6099,5196.2912,158.6813,0.3001,158.9814,0.3668,-275,0.2,275,0.75,0;0.5;0,1,158.5986,1.0,690.0,-3.0,1,1
31,159.3483,-5196.9582,-5037.6099,5198.1420,160.5321,0.3001,160.8322,0.3668,-275,0.2,275,0.2235,1;0;0,1,160.4493,0.0,-879.0,-24.0,1,0
32,161.1990,-5198.8089,-5037.6099,5199.3758,161.7659,0.3001,162.0660,0.3668,275,0.45,-275,1,0;0.5;0,0,161.6832,0.0,-869.0,-32.0,1,1
33,162.4328,-5200.0428,-5037.6099,5202.0436,164.4337,0.3001,164.7338,0.3668,275,0,-275,0.0082,1;0;0,0,164.3508,1.0,687.0,-14.0,1,0
34,165.1006,-5202.7105,-5037.6099,5203.7443,166.1343,0.3001,166.4345,0.3668,-275,0,275,0.0082,0;0.5;0,1,166.0515,1.0,686.0,-18.0,1,1
35,166.8013,-5204.4112,-5037.6099,5204.9948,167.3849,0.3001,167.6850,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,167.2937,0.0,-872.0,-33.0,1,1
36,168.0518,-5205.6617,-5037.6099,5206.2620,168.6520,0.3001,168.9522,0.3668,-275,0.45,275,1,0;0.5;0,1,168.5611,1.0,687.0,-8.0,1,1
