trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,85.9016,-14006.0894,-13920.1878,14013.2923,93.1045,0.3001,93.4047,0.3668,275,0.0088,-275,0.0117,1;0;0,0,93.0094,1.0,836.0,-380.0,1,0
2,93.7715,-14013.9593,-13920.1878,14014.4094,94.2217,0.3001,94.5218,0.3668,-275,0.05,275,0.6,0;0.5;0,1,94.1263,1.0,819.0,-391.0,1,1
3,94.8886,-14015.0764,-13920.1878,14021.6290,101.4413,0.3001,101.7414,0.3668,-275,0.0088,275,0.0323,1;0;0,1,101.3543,0.0,-875.0,-455.0,1,0
4,102.1082,-14022.2960,-13920.1878,14023.1797,102.9919,0.3001,103.2920,0.3668,-275,0.0167,275,0.0196,0;0.5;0,1,102.8967,1.0,821.0,-416.0,1,1
5,103.6588,-14023.8466,-13920.1878,14024.4635,104.2758,0.3001,104.5759,0.3668,-275,0.2,275,1,0;0.5;0,1,104.1889,1.0,834.0,-391.0,1,1
6,104.9427,-14025.1305,-13920.1878,14031.0662,110.8784,0.3001,111.1786,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,110.7832,1.0,831.0,-409.0,1,1
7,111.5454,-14031.7332,-13920.1878,14032.4376,112.2498,0.2960,112.5458,0.3668,275,0.0167,-275,0.0177,0;0.5;0,0,112.1591,0.0,-872.0,-434.0,1,1
8,112.9126,-14033.1004,-13920.1878,14033.8007,113.6129,0.3001,113.9130,0.3668,-275,0.0167,275,0.0177,0;0.5;0,1,113.5259,1.0,830.0,-411.0,1,1
9,114.2798,-14034.4676,-13920.1878,14035.0345,114.8467,0.3001,115.1468,0.3668,-275,0.45,275,0.4735,1;0;0,1,114.7598,0.0,-884.0,-431.0,1,0
10,115.5137,-14035.7014,-13920.1878,14036.1349,115.9472,0.3001,116.2473,0.3668,-275,0.0167,275,0.2088,0;0.5;0,1,115.8601,1.0,836.0,-394.0,1,1
11,116.6141,-14036.8019,-13920.1878,14037.8523,117.6645,0.3001,117.9647,0.3668,275,0.0088,-275,0.0098,1;0;0,0,117.5693,1.0,846.0,-399.0,1,0
12,118.3315,-14038.5192,-13920.1878,14038.9027,118.7150,0.3001,119.0151,0.3668,-275,0.0167,275,0.2088,0;0.5;0,1,118.6198,1.0,827.0,-408.0,1,1
13,119.3819,-14039.5697,-13920.1878,14040.3867,120.1989,0.3001,120.4990,0.3668,275,0.0167,-275,0.0196,0;0.5;0,0,120.1036,0.0,-894.0,-408.0,1,1
14,120.8658,-14041.0536,-13920.1878,14041.6872,121.4994,0.3001,121.7995,0.3668,275,0.45,-275,0.4582,0;0.5;0,0,121.4043,0.0,-898.0,-397.0,1,1
15,122.1664,-14042.3541,-13920.1878,14043.0544,122.8666,0.3001,123.1668,0.3668,275,0.45,-275,0.4582,0;0.5;0,0,122.7714,0.0,-921.0,-385.0,1,1
16,123.5336,-14043.7214,-13920.1878,14051.7580,131.5702,0.3001,131.8703,0.3668,-275,0,275,0.001,0;0.5;0,1,131.4833,1.0,850.0,-391.0,1,1
17,132.2371,-14052.4249,-13920.1878,14052.8751,132.6873,0.3001,132.9874,0.3668,275,0.2,-275,1,0;0.5;0,0,132.5920,0.0,-900.0,-395.0,1,1
18,133.3542,-14053.5420,-13920.1878,14058.5274,138.3396,0.3001,138.6397,0.3668,275,0,-275,0.001,1;0;0,0,138.2526,1.0,882.0,-340.0,1,0
19,139.0065,-14059.1943,-13920.1878,14059.7946,139.6068,0.3001,139.9069,0.3668,275,0,-275,0.1921,0;0.5;0,0,139.5116,0.0,-898.0,-390.0,1,1
20,140.2737,-14060.4615,-13920.1878,14061.3118,141.1241,0.3001,141.4242,0.3668,275,0.0088,-275,0.0117,0;0.5;0,0,141.0371,0.0,-905.0,-396.0,1,1
21,141.7910,-14061.9788,-13920.1878,14062.5790,142.3912,0.3001,142.6914,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,142.3043,0.0,-912.0,-416.0,1,1
22,143.0582,-14063.2460,-13920.1878,14064.0796,143.8919,0.3001,144.1920,0.3668,-275,0.0088,275,0.017,0;0.5;0,1,143.7965,1.0,858.0,-370.0,1,1
23,144.5588,-14064.7466,-13920.1878,14065.4135,145.2257,0.3001,145.5258,0.3668,-275,0.45,275,0.5171,1;0;0,1,145.1389,0.0,-917.0,-390.0,1,0
24,145.8927,-14066.0804,-13920.1878,14066.5306,146.3428,0.3001,146.6430,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,146.2478,1.0,850.0,-389.0,1,1
25,147.0098,-14067.1976,-13920.1878,14067.6978,147.5100,0.3001,147.8101,0.3668,275,0.45,-275,1,0;0.5;0,0,147.4231,0.0,-908.0,-407.0,1,1
26,148.1769,-14068.3647,-13920.1878,14071.2992,151.1115,0.3001,151.4116,0.3668,-275,0,275,0.0029,0;0.5;0,1,151.0248,1.0,849.0,-393.0,1,1
27,151.7784,-14071.9662,-13920.1878,14072.4539,152.2661,0.2960,152.5620,0.3668,275,0.0088,-275,0.2009,0;0.5;0,0,152.1751,0.0,-899.0,-401.0,1,1
28,152.9289,-14073.1166,-13920.1878,14075.6343,155.4465,0.3001,155.7467,0.3668,-275,0.0088,275,0.017,0;0.5;0,1,155.3512,1.0,850.0,-376.0,1,1
29,156.1135,-14076.3013,-13920.1878,14077.6351,157.4474,0.3001,157.7475,0.3668,-275,0.2,275,0.2235,1;0;0,1,157.3520,0.0,-911.0,-390.0,1,0
30,158.1143,-14078.3021,-13920.1878,14078.8856,158.6979,0.3001,158.9980,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,158.6109,0.0,-906.0,-392.0,1,1
31,159.3648,-14079.5526,-13920.1878,14081.5534,161.3656,0.3001,161.6657,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,161.2702,1.0,864.0,-359.0,1,1
32,162.0326,-14082.2203,-13920.1878,14082.7039,162.5161,0.3001,162.8162,0.3668,275,0.0167,-275,0.2088,0;0.5;0,0,162.4291,0.0,-894.0,-409.0,1,1
33,163.1830,-14083.3708,-13920.1878,14084.0377,163.8500,0.3001,164.1501,0.3668,275,0.2,-275,0.2671,0;0.5;0,0,163.7632,0.0,-893.0,-415.0,1,1
34,164.5169,-14084.7047,-13920.1878,14085.2716,165.0838,0.3001,165.3839,0.3668,-275,0.0167,275,0.2088,0;0.5;0,1,164.9885,1.0,851.0,-382.0,1,1
