trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,97.8396,-17372.7452,-17274.9056,17373.3955,98.4899,0.3001,98.7900,0.3668,275,0.2,-275,0.2671,0;0.5;0,0,98.3905,0.0,-1027.0,-573.0,1,1
2,99.1568,-17374.0624,-17274.9056,17374.7293,99.8238,0.3001,100.1239,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,99.7243,1.0,909.0,-487.0,1,1
3,100.4907,-17375.3963,-17274.9056,17376.2633,101.3577,0.3001,101.6579,0.3668,-275,0.0088,275,0.017,0;0.5;0,1,101.2583,1.0,911.0,-484.0,1,1
4,102.0247,-17376.9302,-17274.9056,17377.8973,102.9917,0.3001,103.2919,0.3668,275,0.2,-275,0.2671,0;0.5;0,0,102.8922,0.0,-934.0,-533.0,1,1
5,103.6587,-17378.5642,-17274.9056,17379.3145,104.4090,0.3001,104.7091,0.3668,275,0.45,-275,0.4582,1;0;0,0,104.3094,1.0,869.0,-464.0,1,0
6,105.0759,-17379.9815,-17274.9056,17380.6317,105.7262,0.3001,106.0263,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,105.6267,1.0,882.0,-479.0,1,1
7,106.3931,-17381.2987,-17274.9056,17382.0323,107.1267,0.3001,107.4269,0.3668,-275,0.0088,275,0.017,0;0.5;0,1,107.0357,1.0,881.0,-455.0,1,1
8,107.7937,-17382.6992,-17274.9056,17383.5329,108.6273,0.3001,108.9275,0.3668,-275,0.2,275,0.2235,0;0.5;0,1,108.5363,1.0,874.0,-464.0,1,1
9,109.2943,-17384.1998,-17274.9056,17384.6667,109.7611,0.3001,110.0613,0.3668,275,0.0088,-275,0.0759,0;0.5;0,0,109.6700,0.0,-913.0,-544.0,1,1
10,110.4281,-17385.3336,-17274.9056,17386.7509,111.8453,0.3001,112.1454,0.3668,275,0,-275,0.0029,0;0.5;0,0,111.7459,0.0,-908.0,-553.0,1,1
11,112.5123,-17387.4178,-17274.9056,17390.3690,115.4634,0.3001,115.7636,0.3668,275,0,-275,0.001,1;0;0,0,115.3723,1.0,863.0,-474.0,1,0
12,116.1304,-17391.0359,-17274.9056,17391.7863,116.8807,0.3001,117.1808,0.3668,-275,0.0088,275,0.0323,0;0.5;0,1,116.7897,1.0,871.0,-455.0,1,1
13,117.5476,-17392.4532,-17274.9056,17393.0034,118.0978,0.3001,118.3980,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,117.9984,1.0,894.0,-460.0,1,1
14,118.7648,-17393.6703,-17274.9056,17394.2873,119.3817,0.3001,119.6818,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,119.2823,1.0,887.0,-441.0,1,1
15,120.0486,-17394.9542,-17274.9056,17396.4548,121.5492,0.3001,121.8494,0.3668,275,0.2,-275,0.2235,0;0.5;0,0,121.4582,0.0,-914.0,-460.0,1,1
16,122.2162,-17397.1217,-17274.9056,17397.7887,122.8831,0.3001,123.1832,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,122.7921,0.0,-921.0,-458.0,1,1
17,123.5501,-17398.4556,-17274.9056,17399.0559,124.1503,0.3001,124.4504,0.3668,-275,0.2,275,0.3921,0;0.5;0,1,124.0593,1.0,898.0,-449.0,1,1
18,124.8172,-17399.7228,-17274.9056,17400.2563,125.3508,0.3001,125.6509,0.3668,-275,0.0088,275,0.2009,0;0.5;0,1,125.2514,1.0,889.0,-438.0,1,1
19,126.0177,-17400.9233,-17274.9056,17402.8241,127.9185,0.3001,128.2186,0.3668,275,0,-275,0.0029,1;0;0,0,127.8275,1.0,900.0,-447.0,1,0
20,128.5854,-17403.4910,-17274.9056,17404.1246,129.2190,0.3001,129.5191,0.3668,-275,0,275,0.0235,0;0.5;0,1,129.1194,1.0,906.0,-450.0,1,1
21,129.8860,-17404.7915,-17274.9056,17405.3084,130.4028,0.3001,130.7030,0.3668,-275,0.0088,275,0.2009,0;0.5;0,1,130.3118,1.0,893.0,-451.0,1,1
22,131.0698,-17405.9753,-17274.9056,17406.7423,131.8367,0.3001,132.1369,0.3668,275,0,-275,0.0235,0;0.5;0,0,131.7372,0.0,-969.0,-390.0,1,1
23,132.5037,-17407.4092,-17274.9056,17409.0599,134.1543,0.3001,134.4545,0.3668,-275,0,275,0.001,0;0.5;0,1,134.0631,1.0,897.0,-440.0,1,1
24,134.8213,-17409.7268,-17274.9056,17411.0941,136.1885,0.3001,136.4886,0.3668,275,0.45,-275,0.5171,1;0;0,0,136.0891,1.0,891.0,-456.0,1,0
25,136.8554,-17411.7610,-17274.9056,17412.8615,137.9559,0.3001,138.2560,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,137.8648,1.0,901.0,-465.0,1,1
26,138.6228,-17413.5284,-17274.9056,17414.1120,139.2064,0.3001,139.5065,0.3668,275,0.0088,-275,0.0323,0;0.5;0,0,139.1153,0.0,-959.0,-395.0,1,1
27,139.8733,-17414.7789,-17274.9056,17415.2958,140.3902,0.3001,140.6903,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,140.2908,1.0,898.0,-464.0,1,1
28,141.0571,-17415.9627,-17274.9056,17416.4963,141.5907,0.3001,141.8908,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,141.4997,1.0,898.0,-471.0,1,1
29,142.2576,-17417.1632,-17274.9056,17418.6305,143.7249,0.3001,144.0250,0.3710,275,0,-275,0.0082,0;0.5;0,0,143.6254,0.0,-993.0,-407.0,1,1
30,144.3960,-17419.3016,-17274.9056,17420.0977,145.1921,0.3001,145.4923,0.3668,-275,0.0167,275,0.0177,0;0.5;0,1,145.0928,1.0,927.0,-402.0,1,1
31,145.8591,-17420.7646,-17274.9056,17421.5150,146.6094,0.3001,146.9095,0.3668,275,0.0167,-275,0.0196,1;0;0,0,146.5183,1.0,898.0,-448.0,1,0
32,147.2763,-17422.1819,-17274.9056,17423.2490,148.3434,0.3001,148.6435,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,148.2440,0.0,-927.0,-445.0,1,1
33,149.0104,-17423.9159,-17274.9056,17424.6496,149.7440,0.3001,150.0441,0.3668,275,0.0167,-275,0.0838,0;0.5;0,0,149.6529,0.0,-937.0,-422.0,1,1
