trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
1,49.2868,-26431.4963,-26382.2095,26436.4817,54.2721,0.3001,54.5722,0.3668,-275,0,275,0.0235,0;0.5;0,1,54.1853,1.0,845.0,-391.0,1,1
2,54.9391,-26437.1486,-26382.2095,26437.7155,55.5060,0.3001,55.8061,0.3668,-275,0.05,275,0.6,0;0.5;0,1,55.4273,1.0,868.0,-384.0,1,1
3,56.1729,-26438.3824,-26382.2095,26439.0661,56.8565,0.3001,57.1566,0.3668,-275,0.45,275,0.5171,0;0.5;0,1,56.7778,1.0,865.0,-391.0,1,1
4,57.5234,-26439.7330,-26382.2095,26440.4666,58.2571,0.3001,58.5572,0.3668,-275,0.05,275,0.1171,0;0.5;0,1,58.1784,1.0,882.0,-394.0,1,1
5,58.9240,-26441.1336,-26382.2095,26441.6504,59.4409,0.3001,59.7410,0.3668,275,0.0167,-275,0.2088,0;0.5;0,0,59.3540,0.0,-940.0,-430.0,1,1
6,60.1078,-26442.3174,-26382.2095,26443.0010,60.7914,0.3001,61.0916,0.3668,-275,0,275,0.0671,0;0.5;0,1,60.7045,1.0,877.0,-372.0,1,1
7,61.4584,-26443.6679,-26382.2095,26444.2682,62.0586,0.3001,62.3588,0.3668,-275,0.0167,275,0.0838,0;0.5;0,1,61.9802,1.0,885.0,-373.0,1,1
8,62.7256,-26444.9351,-26382.2095,26445.7855,63.5759,0.3001,63.8760,0.3668,275,0.45,-275,0.6421,1;0;0,0,63.4973,1.0,890.0,-393.0,1,0
9,64.2429,-26446.4524,-26382.2095,26447.9530,65.7435,0.3001,66.0436,0.3668,275,0.05,-275,0.0582,0;0.5;0,0,65.6566,0.0,-940.0,-427.0,1,1
10,66.4104,-26448.6199,-26382.2095,26449.4369,67.2274,0.3001,67.5275,0.3668,275,0.2,-275,0.3921,0;0.5;0,0,67.1405,0.0,-952.0,-427.0,1,1
11,67.8943,-26450.1039,-26382.2095,26450.6708,68.4612,0.3001,68.7614,0.3668,275,0.05,-275,0.1171,0;0.5;0,0,68.3744,0.0,-959.0,-422.0,1,1
12,69.1282,-26451.3377,-26382.2095,26453.3385,71.1290,0.3001,71.4291,0.3668,-275,0.0088,275,0.0098,0;0.5;0,1,71.0420,1.0,892.0,-402.0,1,1
13,71.7959,-26454.0055,-26382.2095,26454.7224,72.5129,0.3001,72.8130,0.3668,-275,0.0088,275,0.0323,0;0.5;0,1,72.4262,1.0,889.0,-392.0,1,1
14,73.1798,-26455.3894,-26382.2095,26455.8562,73.6467,0.3001,73.9468,0.3668,275,0.05,-275,0.6,0;0.5;0,0,73.5680,0.0,-955.0,-437.0,1,1
15,74.3136,-26456.5232,-26382.2095,26457.4069,75.1973,0.3001,75.4974,0.3668,-275,0.0167,275,0.0177,1;0;0,1,75.1189,0.0,-959.0,-435.0,1,0
16,75.8643,-26458.0738,-26382.2095,26458.7741,76.5645,0.3001,76.8647,0.3668,-275,0.2,275,0.75,0;0.5;0,1,76.4860,1.0,892.0,-394.0,1,1
17,77.2315,-26459.4410,-26382.2095,26460.0913,77.8817,0.3001,78.1819,0.3668,-275,0.05,275,0.2421,0;0.5;0,1,77.7949,1.0,887.0,-383.0,1,1
