trial,presentation_startTime,presentation_duration,prefeedback_startTime,prefeedback_duration,feedback_startTime,feedback_duration,fixation_startTime,fixation_duration,presentation_object1_positionX,presentation_object1_contrastValue,presentation_object2_positionX,presentation_object2_contrastValue,feedback_object1_color,trialValue,presentation_responseTime,presentation_response,presentation_touchPositionX,presentation_touchPositionY,respondedInTime,correct
105,251.8939,-57177.5635,-56925.6695,57180.1979,254.5283,0.3001,254.8285,0.3668,-275,0.0088,275,0.0117,1;0;0,1,254.4330,0.0,-424.0,-133.0,1,0
106,255.1953,-57180.8648,-56925.6695,57181.4859,255.8164,0.2960,256.1123,0.3668,275,0.45,-275,1,0;0.5;0,0,255.7253,0.0,-403.0,-139.0,1,1
107,256.4791,-57182.1487,-56925.6695,57188.0344,262.3649,0.3001,262.6650,0.3668,-275,0.0167,275,0.0249,0;0.5;0,1,262.2696,1.0,431.0,-159.0,1,1
108,263.0318,-57188.7013,-56925.6695,57191.2523,265.5828,0.3001,265.8830,0.3668,-275,0.0167,275,0.0402,0;0.5;0,1,265.4875,1.0,442.0,-152.0,1,1
109,266.2498,-57191.9193,-56925.6695,57193.7367,268.0672,0.3001,268.3673,0.3668,-275,0.0088,275,0.0759,0;0.5;0,1,267.9719,1.0,440.0,-153.0,1,1
110,268.7341,-57194.4036,-56925.6695,57196.6212,270.9517,0.3001,271.2518,0.3668,275,0,-275,0.0082,1;0;0,0,270.8647,1.0,433.0,-150.0,1,0
111,271.6186,-57197.2881,-56925.6695,57197.4382,271.7687,0.3001,272.0688,0.3668,275,0.45,-275,0.5171,0;0.5;0,0,271.6818,0.0,-400.0,-138.0,1,1
112,272.4356,-57198.1051,-56925.6695,57200.9063,275.2367,0.3001,275.5369,0.3668,275,0.0167,-275,0.0196,0;0.5;0,0,275.1498,0.0,-408.0,-149.0,1,1
113,275.9037,-57201.5732,-56925.6695,57205.3914,279.7219,0.3001,280.0220,0.3668,-275,0.2,275,0.2235,0;0.5;0,1,279.6350,1.0,519.0,-167.0,1,1
114,280.3888,-57206.0583,-56925.6695,57208.0592,282.3896,0.3001,282.6898,0.3668,275,0.05,-275,0.0529,0;0.5;0,0,282.2943,0.0,-500.0,-129.0,1,1
115,283.0566,-57208.7261,-56925.6695,57209.4806,283.8111,0.3001,284.1112,0.3626,275,0.2,-275,0.75,0;0.5;0,0,283.7116,0.0,-500.0,-129.0,1,1
116,284.4738,-57210.1433,-56925.6695,57213.1446,287.4750,0.3001,287.7752,0.3668,-275,0.0088,275,0.017,0;0.5;0,1,287.3884,1.0,485.0,-162.0,1,1
117,288.1420,-57213.8115,-56925.6695,57214.5785,288.9090,0.3001,289.2091,0.3668,275,0.05,-275,0.2421,0;0.5;0,0,288.8138,0.0,-508.0,-128.0,1,1
